id,name,category,alcoholic,instructions,ingredients
232,Downshift,"Punch / Party Drink",Alcoholic,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.","Fruit punch, Sprite, Tequila, 151 proof rum"
233,Dragonfly,"Ordinary Drink",Alcoholic,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.","Gin, Ginger ale, Lime"
234,"French 75","Ordinary Drink",Alcoholic,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.","Gin, Sugar, Lemon juice, Champagne, Orange, Maraschino cherry"
235,Autodafé,"Ordinary Drink",Alcoholic,"Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.","Vodka, Lime juice, Soda water"
236,"Foxy Lady","Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","Amaretto, Creme de Cacao, Light cream"
237,Afterglow,Cocktail,"Non alcoholic","Mix. Serve over ice.","Grenadine, Orange juice, Pineapple juice"
238,Godfather,"Ordinary Drink",Alcoholic,"Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.","Scotch, Amaretto"
239,Afternoon,"Coffee / Tea",Alcoholic,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.","Kahlua, Baileys irish cream, Frangelico, Coffee, Cream"
240,"Cafe Savoy","Coffee / Tea",Alcoholic,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.","Coffee, Milk, Triple sec, Brandy"
241,"Vodka Fizz","Other / Unknown",Alcoholic,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.","Vodka, Half-and-half, Limeade, Ice, Nutmeg"
242,"After Five",Shot,Alcoholic,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled","Peppermint schnapps, Kahlua, Baileys irish cream"
243,"Angel Face","Ordinary Drink",Alcoholic,"Shake all ingredients with ice and strain contents into a cocktail glass.","Apricot brandy, Apple brandy, Gin"
244,"Quick F**K",Shot,Alcoholic,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream","Kahlua, Midori melon liqueur, Baileys irish cream"
245,"Brain Fart","Punch / Party Drink",Alcoholic,"Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.","Everclear, Vodka, Mountain Dew, Surge, Lemon juice, Rum"
246,"Porto flip","Ordinary Drink",Alcoholic,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.","Brandy, Port, Egg Yolk"
247,"Royal Fizz","Ordinary Drink",Alcoholic,"Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.","Gin, Sweet and sour, Egg, Coca-Cola"
248,"Frisco Sour","Ordinary Drink",Alcoholic,"Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.","Blended whiskey, Benedictine, Lemon, Lime, Lemon, Lime"
249,"Arctic Fish","Punch / Party Drink",Alcoholic,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled.","Vodka, Grape soda, Orange juice, Ice, Candy"
250,"Fruit Shake","Other / Unknown","Non alcoholic","Blend til smooth.","Yoghurt, Banana, Orange juice, Fruit, Ice"
251,GG,"Ordinary Drink","Optional alcohol","Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.","Galliano, Ginger ale, Ice"
252,Zinger,"Soft Drink",Alcoholic,"Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.","Peachtree schnapps, Surge"
253,Orgasm,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.","Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream"
254,Gimlet,Cocktail,Alcoholic,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.","Gin, Lime Juice, Sugar Syrup, Lime"
255,Negroni,"Ordinary Drink",Alcoholic,"Stir into glass over ice, garnish and serve.","Gin, Campari, Sweet Vermouth"
256,"Big Red",Shot,Alcoholic,"Pour ingredients into 1 ounce shot glass","Irish cream, Goldschlager"
257,Stinger,"Ordinary Drink",Alcoholic,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.","Brandy, White Creme de Menthe"
258,Sangria,"Punch / Party Drink",Alcoholic,"Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.","Red wine, Sugar, Orange juice, Lemon juice, Cloves, Cinnamon"
259,"410 Gone","Ordinary Drink",Alcoholic,"Mix together and enjoy!","Peach Vodka, Coca-Cola"
260,Godchild,"Ordinary Drink",Alcoholic,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.","Vodka, Amaretto, Heavy cream"
261,"Pink Gin","Ordinary Drink",Alcoholic,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.","Bitters, Gin"
262,Shot-gun,Shot,Alcoholic,"Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.","Jim Beam, Jack Daniels, Wild Turkey"
263,"Gin Sour","Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.","Gin, Lemon juice, Sugar, Orange, Maraschino cherry"
264,"Gin Fizz","Ordinary Drink",Alcoholic,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.","Gin, Lemon, Powdered sugar, Carbonated water"
265,Algonquin,"Ordinary Drink",Alcoholic,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.","Blended whiskey, Dry Vermouth, Pineapple juice"
266,Allegheny,"Ordinary Drink",Alcoholic,"Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.","Dry Vermouth, Bourbon, Blackberry brandy, Lemon juice, Lemon peel"
267,Jitterbug,Cocktail,Alcoholic,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!","Gin, Vodka, Grenadine, Lime juice, Sugar, Sugar syrup, Soda water"
268,Afterglow,Cocktail,"Non alcoholic","Mix. Serve over ice.","Grenadine, Orange juice, Pineapple juice"
269,Boomerang,"Ordinary Drink",Alcoholic,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.","Gin, Dry Vermouth, Bitters, Maraschino liqueur, Maraschino cherry"
270,Greyhound,Cocktail,Alcoholic,"Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

","Vodka, Grapefruit Juice"
271,"Salty Dog","Ordinary Drink",Alcoholic,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)","Grapefruit juice, Gin, Salt"
272,Dragonfly,"Ordinary Drink",Alcoholic,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.","Gin, Ginger ale, Lime"
273,Orangeade,Cocktail,"Non alcoholic","Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.","Lemon juice, Orange juice, Sugar syrup, Soda water"
274,"Pegu Club",Cocktail,Alcoholic,"Shake, strain, up, cocktail glass","Gin, Orange Curacao, Lime Juice, Angostura Bitters, Orange Bitters"
275,Addington,Cocktail,Alcoholic,"Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ","Sweet Vermouth, Dry Vermouth, Soda Water"
276,H.D.,"Coffee / Tea",Alcoholic,"Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.","Whisky, Baileys irish cream, Coffee"
277,Shot-gun,Shot,Alcoholic,"Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.","Jim Beam, Jack Daniels, Wild Turkey"
278,Godchild,"Ordinary Drink",Alcoholic,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.","Vodka, Amaretto, Heavy cream"
279,Thriller,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Scotch, Wine, Orange juice"
280,"Lunch Box",Beer,Alcoholic,"Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.","Beer, Amaretto, Orange juice"
281,Gluehwein,"Punch / Party Drink","Optional alcohol","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.","Red wine, Water, Sugar, Cinnamon, Cloves, Lemon peel"
282,Manhattan,Cocktail,Alcoholic,"Stirred over ice, strained into a chilled glass, garnished, and served up.","Sweet Vermouth, Bourbon, Angostura bitters, Ice, Maraschino cherry, Orange peel"
283,Allegheny,"Ordinary Drink",Alcoholic,"Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.","Dry Vermouth, Bourbon, Blackberry brandy, Lemon juice, Lemon peel"
284,Avalanche,Shake,Alcoholic,"Mix in highball glass over ice, shake well.","Crown Royal, Kahlua, Cream"
285,"Rum Punch","Punch / Party Drink",Alcoholic,"Mix all ingredients in a punch bowl and serve.","Rum, Ginger ale, Fruit punch, Orange juice, Ice"
286,"The Galah",Cocktail,Alcoholic,"Mix together the alcoholic portions and top with Pineapple and Lime juice.","Dark Rum, Campari, Creme De Banane, Pineapple Juice, Lime Juice"
287,"French 75","Ordinary Drink",Alcoholic,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.","Gin, Sugar, Lemon juice, Champagne, Orange, Maraschino cherry"
288,"Honey Bee",Cocktail,Alcoholic,"Shake ingredients with crushed ice
","White Rum, Honey, Lemon Juice"
289,"Hot Toddy",Cocktail,Alcoholic,"STEP 1
Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.

STEP 2
Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately.","Whiskey, Honey, Cinnamon, lemon, Cloves"
290,"Gin Smash","Ordinary Drink",Alcoholic,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.","Gin, Carbonated water, Sugar, Mint, Orange, Cherry"
291,Godfather,"Ordinary Drink",Alcoholic,"Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.","Scotch, Amaretto"
292,Godmother,"Ordinary Drink",Alcoholic,"Pour vodka and amaretto into an old-fashioned glass over ice and serve.","Vodka, Amaretto"
293,Michelada,Cocktail,Alcoholic,"Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
","Beer, Tomato Juice, Lime Juice, Hot Sauce, Worcestershire Sauce, Soy Sauce"
294,Greyhound,Cocktail,Alcoholic,"Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

","Vodka, Grapefruit Juice"
295,Downshift,"Punch / Party Drink",Alcoholic,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.","Fruit punch, Sprite, Tequila, 151 proof rum"
296,Archbishop,"Ordinary Drink",Alcoholic,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.","Gin, Wine, Benedictine, Lime"
297,Jackhammer,"Ordinary Drink",Alcoholic,"Serve over ice- Warning,Deadly!","Jack Daniels, Amaretto"
298,"Wine Punch","Punch / Party Drink",Alcoholic,"Combine all of the ingredients and pour over a block of ice.","Red wine, Lemon, Orange juice, Orange, Pineapple juice"
299,Zipperhead,Shot,Alcoholic,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).","Chambord raspberry liqueur, Vodka, Soda water"
300,"White Lady","Ordinary Drink",Alcoholic,"Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.","Gin, Triple Sec, Lemon Juice"
301,Kir,"Ordinary Drink",Alcoholic,"Add the crème de cassis to the bottom of the glass, then top up with wine.","Creme de Cassis, Champagne"
302,ACID,Shot,Alcoholic,"Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.","151 proof rum, Wild Turkey"
303,Bijou,Cocktail,Alcoholic,"Stir in mixing glass with ice and strain
","Orange Bitters, Green Chartreuse, Gin, Sweet Vermouth"
304,Mojito,Cocktail,Alcoholic,"Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.","Light rum, Lime, Sugar, Mint, Soda water"
305,Mimosa,"Ordinary Drink",Alcoholic,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold.","Champagne, Orange juice"
306,Gimlet,Cocktail,Alcoholic,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.","Gin, Lime Juice, Sugar Syrup, Lime"
307,Zombie,Cocktail,Alcoholic,"Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.","Rum, Gold rum, 151 proof rum, Pernod, Grenadine, Lime Juice, Angostura Bitters"
308,Casino,"Ordinary Drink",Alcoholic,"Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.","Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry"
309,Zinger,"Soft Drink",Alcoholic,"Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.","Peachtree schnapps, Surge"
310,Victor,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Gin, Sweet Vermouth, Brandy"
311,Affair,"Ordinary Drink",Alcoholic,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","Strawberry schnapps, Orange juice, Cranberry juice, Club soda"
312,Spritz,"Ordinary Drink",Alcoholic,"Build into glass over ice, garnish and serve.","Prosecco, Campari, Soda Water"
313,Diesel,Beer,Alcoholic,"Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.","Lager, Cider, Blackcurrant cordial"
314,"Mai Tai","Ordinary Drink",Alcoholic,"Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.","Light rum, Orgeat syrup, Triple sec, Sweet and sour, Cherry"
315,"Big Red",Shot,Alcoholic,"Pour ingredients into 1 ounce shot glass","Irish cream, Goldschlager"
316,Bellini,"Ordinary Drink",Alcoholic,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.","Champagne, Peach schnapps"
317,Sidecar,"Ordinary Drink",Alcoholic,"Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.","Cognac, Cointreau, Lemon juice"
318,Almeria,"Ordinary Drink",Alcoholic,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","Dark rum, Kahlua, Egg white"
319,Vampiro,"Ordinary Drink",Alcoholic,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first "rim" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.","Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt"
320,Abilene,"Ordinary Drink",Alcoholic,"Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.","Dark rum, Peach nectar, Orange juice"
321,Addison,Cocktail,Alcoholic,"Shake together all the ingredients and strain into a cold glass.","Gin, Vermouth"
322,Vesuvio,"Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.","Light rum, Sweet Vermouth, Lemon, Powdered sugar, Egg white"
323,Limeade,"Other / Unknown","Non alcoholic","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.","Lime, Sugar, Soda water, Lime peel"
324,Ipamena,"Ordinary Drink","Non alcoholic","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime","Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice"
325,Stinger,"Ordinary Drink",Alcoholic,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.","Brandy, White Creme de Menthe"
326,Bijou,Cocktail,Alcoholic,"Stir in mixing glass with ice and strain
","Orange Bitters, Green Chartreuse, Gin, Sweet Vermouth"
327,"A. J.","Ordinary Drink",Alcoholic,"Shake ingredients with ice, strain into a cocktail glass, and serve.","Applejack, Grapefruit juice"
328,Mojito,Cocktail,Alcoholic,"Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.","Light rum, Lime, Sugar, Mint, Soda water"
329,Jitterbug,Cocktail,Alcoholic,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!","Gin, Vodka, Grenadine, Lime juice, Sugar, Sugar syrup, Soda water"
330,Applejack,Cocktail,Alcoholic,"Add all ingredients into mixing glass, chill and strain into cocktail glass","Jack Daniels, Midori melon liqueur, Sour mix"
331,"Jam Donut",Shot,Alcoholic,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.","Baileys irish cream, Chambord raspberry liqueur, Sugar syrup, Sugar"
332,"Almond Joy","Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Amaretto, Creme de Cacao, Light cream"
333,"Jelly Bean",Shot,Alcoholic,"mix equal parts in pony glass-tastes just like a jelly bean!","Blackberry brandy, Anis"
334,Jackhammer,"Ordinary Drink",Alcoholic,"Serve over ice- Warning,Deadly!","Jack Daniels, Amaretto"
335,"Mint Julep","Ordinary Drink",Alcoholic,"In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.","Mint, Bourbon, Powdered sugar, Water"
336,Lemouroudji,"Other / Unknown","Non alcoholic","Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.","Ginger, Water, Lemon, Sugar, Cayenne pepper"
337,"Jello shots",Shot,Alcoholic,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...","Vodka, Jello, Water"
338,"John Collins","Ordinary Drink",Alcoholic,"Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.","Bourbon, Lemon juice, Sugar, Club soda, Maraschino cherry, Orange"
339,"Jamaica Kiss",Shake,Alcoholic,"Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.","Coffee liqueur, Light rum, Ice, Milk"
340,"Mojito Extra",Cocktail,Alcoholic,"Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.","Mint, Lemon juice, Dark rum, Club soda, Angostura bitters"
341,"Mango Mojito",Cocktail,Alcoholic,"Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée.
Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint.
Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like.","Lime, Mango, Mint, White Rum, Ice, Soda Water, Mango"
342,"Japanese Fizz","Ordinary Drink",Alcoholic,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.","Blended whiskey, Lemon, Powdered sugar, Port, Egg white, Carbonated water"
343,"Just a Moonmint",Shake,"Non alcoholic","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","Milk, Chocolate syrup, Mint syrup"
344,"Jamaican Coffee","Coffee / Tea",Alcoholic,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.","Rum, Coffee, Water, Whipped cream"
345,"Raspberry Julep",Cocktail,Alcoholic,"Softly muddle the mint leaves and raspberry syrup in the bottom of the cup. Add crushed ice and Bourbon to the cup and then stir. Top with more ice, garnish with a mint sprig.","Bourbon, Raspberry syrup, Mint"
346,"The Jimmy Conway",Cocktail,Alcoholic,"Fill glass with ice
Pour in The Irishman and Disaronno
Fill to the top with Cranberry Juice
Garnish with a slice of lemon…Enjoy!","Irish Whiskey, Amaretto, Cranberry Juice"
347,"Blueberry Mojito",Cocktail,Alcoholic,"Muddle the blueberries with the other ingredients and serve in a highball glass. Garnish with mint and a half slice of lime.","Dark Rum, Lime Juice, Sugar, Blueberries, Lemon-lime soda"
348,"Jewel Of The Nile","Ordinary Drink",Alcoholic,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","Gin, Green Chartreuse, Yellow Chartreuse"
349,"Jack Rose Cocktail","Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Apple brandy, Grenadine, Lime"
350,"Jack's Vanilla Coke","Other / Unknown",Alcoholic,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.","Ice, Tennessee whiskey, Vanilla extract, Coca-Cola"
351,Kir,"Ordinary Drink",Alcoholic,"Add the crème de cassis to the bottom of the glass, then top up with wine.","Creme de Cassis, Champagne"
352,Karsk,"Ordinary Drink",Alcoholic,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.","Coffee, Grain alcohol"
353,Zoksel,"Soft Drink",Alcoholic,"No specific mixing instructions, just poor every ingredient in one glass. The lemon goes with it.","Beer, Root beer, Lemonade, Coca-Cola, 7-Up, Creme de Cassis, Lemon"
354,Brooklyn,Cocktail,Alcoholic,"Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.","Rye Whiskey, Dry Vermouth, Maraschino Liqueur, Angostura Bitters, Maraschino Cherry"
355,"Ice Pick","Ordinary Drink",Alcoholic,"Put Vodka in glass fill with iced tea. Stir in lemon to taste.","Vodka, Iced tea, Lemon juice"
356,"Pink Gin","Ordinary Drink",Alcoholic,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.","Bitters, Gin"
357,Danbooka,"Coffee / Tea",Alcoholic,"pour it in and mix it.","Coffee, Everclear"
358,Kamikaze,"Ordinary Drink",Alcoholic,"Shake all ingredients together with ice. Strain into glass, garnish and serve.","Vodka, Triple sec, Lime juice"
359,"Pink Lady","Ordinary Drink",Alcoholic,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Gin, Grenadine, Light cream, Egg white"
360,"747 Drink",Cocktail,Alcoholic,"Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries","Vodka, Roses sweetened lime juice, Cranberry Juice, Sprite"
361,Applejack,Cocktail,Alcoholic,"Add all ingredients into mixing glass, chill and strain into cocktail glass","Jack Daniels, Midori melon liqueur, Sour mix"
362,"Pink Moon",Cocktail,Alcoholic,"Slowly shake in a shaker with ice, strain into a square whiskey glass. Top with fresh ice. Add the blackberries to garnish. Add flowers and a green leaf for a special look!","Gin, Coconut Liqueur, Elderflower cordial, Lime Juice, Blackberries"
363,Quick-sand,"Ordinary Drink",Alcoholic,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!","Black Sambuca, Orange juice"
364,Turkeyball,Shot,Alcoholic,"Shake with ice and strain into a shot glass.","Wild Turkey, Amaretto, Pineapple juice"
365,Jackhammer,"Ordinary Drink",Alcoholic,"Serve over ice- Warning,Deadly!","Jack Daniels, Amaretto"
366,"Kiwi Lemon","Ordinary Drink",Alcoholic,"Mix in highball glass. Stirr. Garnish with slice of kiwi.","Kiwi liqueur, Bitter lemon, Ice"
367,Blackthorn,"Ordinary Drink",Alcoholic,"Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.","Sweet Vermouth, Sloe gin, Lemon peel"
368,"Kir Royale","Ordinary Drink",Alcoholic,"Pour Creme de cassis in glass, gently pour champagne on top","Creme de Cassis, Champagne"
369,"Kurant Tea","Coffee / Tea",Alcoholic,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!","Absolut Kurant, Tea, Sugar"
370,"Gin Rickey",Cocktail,Alcoholic,"Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.","Gin, Grenadine, lemon, Soda Water, Lime"
371,"Long vodka","Ordinary Drink",Alcoholic,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka","Vodka, Lime, Angostura bitters, Tonic water, Ice"
372,"Whisky Mac","Ordinary Drink",Alcoholic,"Pour both of the ingredients into a wine goblet with no ice.","Scotch, Wine"
373,"Vodka Fizz","Other / Unknown",Alcoholic,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.","Vodka, Half-and-half, Limeade, Ice, Nutmeg"
