Cocktail Name,MidJourney Prompt
ACID,"Flat lay, vintage speakeasy style. High-quality photo of a ACID, served in a cocktail glass, featuring Fruité notes. Made with 151 proof rum, Wild Turkey. Instructions: Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Bijou,"Flat lay, vintage speakeasy style. High-quality photo of a Bijou, served in a cocktail glass, featuring Amer, sucré notes. Made with Orange Bitters, Green Chartreuse, Gin, Sweet Vermouth. Instructions: Stir in mixing glass with ice and strain
. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Mojito,"Flat lay, vintage speakeasy style. High-quality photo of a Mojito, served in a highball glass, featuring Acide, sucré notes. Made with Light rum, Lime, Sugar, Mint, Soda water. Instructions: Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Mimosa,"Flat lay, vintage speakeasy style. High-quality photo of a Mimosa, served in a cocktail glass, featuring Fruité, sucré notes. Made with Champagne, Orange juice. Instructions: Ensure both ingredients are well chilled, then mix into the glass. Serve cold.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Gimlet,"Flat lay, vintage speakeasy style. High-quality photo of a Gimlet, served in a cocktail glass, featuring Acide, sucré notes. Made with Gin, Lime Juice, Sugar Syrup, Lime. Instructions: Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Zombie,"Flat lay, vintage speakeasy style. High-quality photo of a Zombie, served in a cocktail glass, featuring Acide, sucré, sucré notes. Made with Rum, Gold rum, 151 proof rum, Pernod, Grenadine, Lime Juice, Angostura Bitters. Instructions: Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Casino,"Flat lay, vintage speakeasy style. High-quality photo of a Casino, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry. Instructions: Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Zinger,"Flat lay, vintage speakeasy style. High-quality photo of a Zinger, served in a cocktail glass, featuring Fruité notes. Made with Peachtree schnapps, Surge. Instructions: Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Victor,"Flat lay, vintage speakeasy style. High-quality photo of a Victor, served in a cocktail glass, featuring Amer, sucré notes. Made with Gin, Sweet Vermouth, Brandy. Instructions: Shake all ingredients with ice, strain into a cocktail glass, and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Affair,"Flat lay, vintage speakeasy style. High-quality photo of a Affair, served in a cocktail glass, featuring Fruité, sucré notes. Made with Strawberry schnapps, Orange juice, Cranberry juice, Club soda. Instructions: Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Spritz,"Flat lay, vintage speakeasy style. High-quality photo of a Spritz, served in a cocktail glass, featuring Amer notes. Made with Prosecco, Campari, Soda Water. Instructions: Build into glass over ice, garnish and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Diesel,"Flat lay, vintage speakeasy style. High-quality photo of a Diesel, served in a cocktail glass, featuring Fruité notes. Made with Lager, Cider, Blackcurrant cordial. Instructions: Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Mai Tai,"Flat lay, vintage speakeasy style. High-quality photo of a Mai Tai, served in a tiki mug, featuring Fruité, sucré notes. Made with Light rum, Orgeat syrup, Triple sec, Sweet and sour, Cherry. Instructions: Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Big Red,"Flat lay, vintage speakeasy style. High-quality photo of a Big Red, served in a cocktail glass, featuring Fruité notes. Made with Irish cream, Goldschlager. Instructions: Pour ingredients into 1 ounce shot glass. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Bellini,"Flat lay, vintage speakeasy style. High-quality photo of a Bellini, served in a cocktail glass, featuring Fruité notes. Made with Champagne, Peach schnapps. Instructions: Pour peach purée into chilled flute, add sparkling wine. Stir gently.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Sidecar,"Flat lay, vintage speakeasy style. High-quality photo of a Sidecar, served in a cocktail glass, featuring Fruité, sucré notes. Made with Cognac, Cointreau, Lemon juice. Instructions: Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Almeria,"Flat lay, vintage speakeasy style. High-quality photo of a Almeria, served in a cocktail glass, featuring Fruité notes. Made with Dark rum, Kahlua, Egg white. Instructions: In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Vampiro,"Flat lay, vintage speakeasy style. High-quality photo of a Vampiro, served in a cocktail glass, featuring Acide, sucré, salé notes. Made with Tequila, Tomato Juice, Orange Juice, Lime Juice, Sugar Syrup, Salt. Instructions: Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Abilene,"Flat lay, vintage speakeasy style. High-quality photo of a Abilene, served in a cocktail glass, featuring Fruité, sucré notes. Made with Dark rum, Peach nectar, Orange juice. Instructions: Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Addison,"Flat lay, vintage speakeasy style. High-quality photo of a Addison, served in a cocktail glass, featuring Amer notes. Made with Gin, Vermouth. Instructions: Shake together all the ingredients and strain into a cold glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Vesuvio,"Flat lay, vintage speakeasy style. High-quality photo of a Vesuvio, served in a cocktail glass, featuring Amer, sucré notes. Made with Light rum, Sweet Vermouth, Lemon, Powdered sugar, Egg white. Instructions: Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Limeade,"Flat lay, vintage speakeasy style. High-quality photo of a Limeade, served in a cocktail glass, featuring Acide, sucré notes. Made with Lime, Sugar, Soda water, Lime peel. Instructions: In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Ipamena,"Flat lay, vintage speakeasy style. High-quality photo of a Ipamena, served in a cocktail glass, featuring Acide, épicé, sucré, épicé notes. Made with Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice. Instructions: Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Stinger,"Flat lay, vintage speakeasy style. High-quality photo of a Stinger, served in a cocktail glass, featuring Herbacé notes. Made with Brandy, White Creme de Menthe. Instructions: Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Bijou,"Flat lay, vintage speakeasy style. High-quality photo of a Bijou, served in a cocktail glass, featuring Amer, sucré notes. Made with Orange Bitters, Green Chartreuse, Gin, Sweet Vermouth. Instructions: Stir in mixing glass with ice and strain
. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
A. J.,"Flat lay, vintage speakeasy style. High-quality photo of a A. J., served in a cocktail glass, featuring Fruité, sucré notes. Made with Applejack, Grapefruit juice. Instructions: Shake ingredients with ice, strain into a cocktail glass, and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Mojito,"Flat lay, vintage speakeasy style. High-quality photo of a Mojito, served in a highball glass, featuring Acide, sucré notes. Made with Light rum, Lime, Sugar, Mint, Soda water. Instructions: Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Jitterbug,"Flat lay, vintage speakeasy style. High-quality photo of a Jitterbug, served in a cocktail glass, featuring Acide, sucré, sucré notes. Made with Gin, Vodka, Grenadine, Lime juice, Sugar, Sugar syrup, Soda water. Instructions: Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Applejack,"Flat lay, vintage speakeasy style. High-quality photo of a Applejack, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Jack Daniels, Midori melon liqueur, Sour mix. Instructions: Add all ingredients into mixing glass, chill and strain into cocktail glass. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Jam Donut,"Flat lay, vintage speakeasy style. High-quality photo of a Jam Donut, served in a cocktail glass, featuring Crémeux, sucré, sucré notes. Made with Baileys irish cream, Chambord raspberry liqueur, Sugar syrup, Sugar. Instructions: Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Almond Joy,"Flat lay, vintage speakeasy style. High-quality photo of a Almond Joy, served in a cocktail glass, featuring Crémeux notes. Made with Amaretto, Creme de Cacao, Light cream. Instructions: Shake all ingredients with ice, strain into a cocktail glass, and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Jelly Bean,"Flat lay, vintage speakeasy style. High-quality photo of a Jelly Bean, served in a cocktail glass, featuring Fruité notes. Made with Blackberry brandy, Anis. Instructions: mix equal parts in pony glass-tastes just like a jelly bean!. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Jackhammer,"Flat lay, vintage speakeasy style. High-quality photo of a Jackhammer, served in a cocktail glass, featuring Fruité notes. Made with Jack Daniels, Amaretto. Instructions: Serve over ice- Warning,Deadly!. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Mint Julep,"Flat lay, vintage speakeasy style. High-quality photo of a Mint Julep, served in a cocktail glass, featuring Fumé, sucré notes. Made with Mint, Bourbon, Powdered sugar, Water. Instructions: In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Lemouroudji,"Flat lay, vintage speakeasy style. High-quality photo of a Lemouroudji, served in a cocktail glass, featuring Fruité, épicé, sucré, épicé notes. Made with Ginger, Water, Lemon, Sugar, Cayenne pepper. Instructions: Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Jello shots,"Flat lay, vintage speakeasy style. High-quality photo of a Jello shots, served in a cocktail glass, featuring Fruité notes. Made with Vodka, Jello, Water. Instructions: Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away.... Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
John Collins,"Flat lay, vintage speakeasy style. High-quality photo of a John Collins, served in a cocktail glass, featuring Fumé, sucré notes. Made with Bourbon, Lemon juice, Sugar, Club soda, Maraschino cherry, Orange. Instructions: Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Jamaica Kiss,"Flat lay, vintage speakeasy style. High-quality photo of a Jamaica Kiss, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Coffee liqueur, Light rum, Ice, Milk. Instructions: Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Mojito Extra,"Flat lay, vintage speakeasy style. High-quality photo of a Mojito Extra, served in a cocktail glass, featuring Amer, sucré notes. Made with Mint, Lemon juice, Dark rum, Club soda, Angostura bitters. Instructions: Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Mango Mojito,"Flat lay, vintage speakeasy style. High-quality photo of a Mango Mojito, served in a cocktail glass, featuring Acide notes. Made with Lime, Mango, Mint, White Rum, Ice, Soda Water, Mango. Instructions: Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée.
Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint.
Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Japanese Fizz,"Flat lay, vintage speakeasy style. High-quality photo of a Japanese Fizz, served in a cocktail glass, featuring Fruité, sucré notes. Made with Blended whiskey, Lemon, Powdered sugar, Port, Egg white, Carbonated water. Instructions: Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Just a Moonmint,"Flat lay, vintage speakeasy style. High-quality photo of a Just a Moonmint, served in a cocktail glass, featuring Fruité, sucré notes. Made with Milk, Chocolate syrup, Mint syrup. Instructions: Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Jamaican Coffee,"Flat lay, vintage speakeasy style. High-quality photo of a Jamaican Coffee, served in a cocktail glass, featuring Fruité notes. Made with Rum, Coffee, Water, Whipped cream. Instructions: Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Raspberry Julep,"Flat lay, vintage speakeasy style. High-quality photo of a Raspberry Julep, served in a cocktail glass, featuring Fumé, sucré notes. Made with Bourbon, Raspberry syrup, Mint. Instructions: Softly muddle the mint leaves and raspberry syrup in the bottom of the cup. Add crushed ice and Bourbon to the cup and then stir. Top with more ice, garnish with a mint sprig.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
The Jimmy Conway,"Flat lay, vintage speakeasy style. High-quality photo of a The Jimmy Conway, served in a cocktail glass, featuring Fruité, sucré notes. Made with Irish Whiskey, Amaretto, Cranberry Juice. Instructions: Fill glass with ice
Pour in The Irishman and Disaronno
Fill to the top with Cranberry Juice
Garnish with a slice of lemon…Enjoy!. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Blueberry Mojito,"Flat lay, vintage speakeasy style. High-quality photo of a Blueberry Mojito, served in a cocktail glass, featuring Acide, sucré notes. Made with Dark Rum, Lime Juice, Sugar, Blueberries, Lemon-lime soda. Instructions: Muddle the blueberries with the other ingredients and serve in a highball glass. Garnish with mint and a half slice of lime.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Jewel Of The Nile,"Flat lay, vintage speakeasy style. High-quality photo of a Jewel Of The Nile, served in a cocktail glass, featuring Fruité notes. Made with Gin, Green Chartreuse, Yellow Chartreuse. Instructions: In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Jack Rose Cocktail,"Flat lay, vintage speakeasy style. High-quality photo of a Jack Rose Cocktail, served in a cocktail glass, featuring Acide, sucré, sucré notes. Made with Apple brandy, Grenadine, Lime. Instructions: Shake all ingredients with ice, strain into a cocktail glass, and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Jack's Vanilla Coke,"Flat lay, vintage speakeasy style. High-quality photo of a Jack's Vanilla Coke, served in a cocktail glass, featuring Fruité notes. Made with Ice, Tennessee whiskey, Vanilla extract, Coca-Cola. Instructions: After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Kir,"Flat lay, vintage speakeasy style. High-quality photo of a Kir, served in a cocktail glass, featuring Crémeux notes. Made with Creme de Cassis, Champagne. Instructions: Add the crème de cassis to the bottom of the glass, then top up with wine.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Karsk,"Flat lay, vintage speakeasy style. High-quality photo of a Karsk, served in a cocktail glass, featuring Fruité notes. Made with Coffee, Grain alcohol. Instructions: Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Zoksel,"Flat lay, vintage speakeasy style. High-quality photo of a Zoksel, served in a cocktail glass, featuring Crémeux notes. Made with Beer, Root beer, Lemonade, Coca-Cola, 7-Up, Creme de Cassis, Lemon. Instructions: No specific mixing instructions, just poor every ingredient in one glass. The lemon goes with it.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Brooklyn,"Flat lay, vintage speakeasy style. High-quality photo of a Brooklyn, served in a cocktail glass, featuring Amer, sucré, sucré notes. Made with Rye Whiskey, Dry Vermouth, Maraschino Liqueur, Angostura Bitters, Maraschino Cherry. Instructions: Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Ice Pick,"Flat lay, vintage speakeasy style. High-quality photo of a Ice Pick, served in a cocktail glass, featuring Fruité, sucré notes. Made with Vodka, Iced tea, Lemon juice. Instructions: Put Vodka in glass fill with iced tea. Stir in lemon to taste.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Pink Gin,"Flat lay, vintage speakeasy style. High-quality photo of a Pink Gin, served in a cocktail glass, featuring Fruité notes. Made with Bitters, Gin. Instructions: Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Danbooka,"Flat lay, vintage speakeasy style. High-quality photo of a Danbooka, served in a cocktail glass, featuring Fruité notes. Made with Coffee, Everclear. Instructions: pour it in and mix it.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Kamikaze,"Flat lay, vintage speakeasy style. High-quality photo of a Kamikaze, served in a cocktail glass, featuring Acide, sucré notes. Made with Vodka, Triple sec, Lime juice. Instructions: Shake all ingredients together with ice. Strain into glass, garnish and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Pink Lady,"Flat lay, vintage speakeasy style. High-quality photo of a Pink Lady, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Gin, Grenadine, Light cream, Egg white. Instructions: Shake all ingredients with ice, strain into a cocktail glass, and serve.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
747 Drink,"Flat lay, vintage speakeasy style. High-quality photo of a 747 Drink, served in a cocktail glass, featuring Acide, sucré notes. Made with Vodka, Roses sweetened lime juice, Cranberry Juice, Sprite. Instructions: Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Applejack,"Flat lay, vintage speakeasy style. High-quality photo of a Applejack, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Jack Daniels, Midori melon liqueur, Sour mix. Instructions: Add all ingredients into mixing glass, chill and strain into cocktail glass. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Pink Moon,"Flat lay, vintage speakeasy style. High-quality photo of a Pink Moon, served in a cocktail glass, featuring Acide, sucré, sucré notes. Made with Gin, Coconut Liqueur, Elderflower cordial, Lime Juice, Blackberries. Instructions: Slowly shake in a shaker with ice, strain into a square whiskey glass. Top with fresh ice. Add the blackberries to garnish. Add flowers and a green leaf for a special look!. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Quick-sand,"Flat lay, vintage speakeasy style. High-quality photo of a Quick-sand, served in a cocktail glass, featuring Fruité, sucré notes. Made with Black Sambuca, Orange juice. Instructions: Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Turkeyball,"Flat lay, vintage speakeasy style. High-quality photo of a Turkeyball, served in a cocktail glass, featuring Fruité, sucré notes. Made with Wild Turkey, Amaretto, Pineapple juice. Instructions: Shake with ice and strain into a shot glass.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Jackhammer,"Flat lay, vintage speakeasy style. High-quality photo of a Jackhammer, served in a cocktail glass, featuring Fruité notes. Made with Jack Daniels, Amaretto. Instructions: Serve over ice- Warning,Deadly!. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Kiwi Lemon,"Flat lay, vintage speakeasy style. High-quality photo of a Kiwi Lemon, served in a cocktail glass, featuring Fruité, sucré, sucré notes. Made with Kiwi liqueur, Bitter lemon, Ice. Instructions: Mix in highball glass. Stirr. Garnish with slice of kiwi.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Blackthorn,"Flat lay, vintage speakeasy style. High-quality photo of a Blackthorn, served in a cocktail glass, featuring Amer, sucré notes. Made with Sweet Vermouth, Sloe gin, Lemon peel. Instructions: Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Kir Royale,"Flat lay, vintage speakeasy style. High-quality photo of a Kir Royale, served in a cocktail glass, featuring Crémeux notes. Made with Creme de Cassis, Champagne. Instructions: Pour Creme de cassis in glass, gently pour champagne on top. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Kurant Tea,"Flat lay, vintage speakeasy style. High-quality photo of a Kurant Tea, served in a cocktail glass, featuring Fruité, sucré notes. Made with Absolut Kurant, Tea, Sugar. Instructions: Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Gin Rickey,"Flat lay, vintage speakeasy style. High-quality photo of a Gin Rickey, served in a cocktail glass, featuring Acide, sucré, sucré notes. Made with Gin, Grenadine, lemon, Soda Water, Lime. Instructions: Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Long vodka,"Flat lay, vintage speakeasy style. High-quality photo of a Long vodka, served in a cocktail glass, featuring Acide notes. Made with Vodka, Lime, Angostura bitters, Tonic water, Ice. Instructions: Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Whisky Mac,"Flat lay, vintage speakeasy style. High-quality photo of a Whisky Mac, served in a cocktail glass, featuring Fruité notes. Made with Scotch, Wine. Instructions: Pour both of the ingredients into a wine goblet with no ice.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Vodka Fizz,"Flat lay, vintage speakeasy style. High-quality photo of a Vodka Fizz, served in a cocktail glass, featuring Acide, épicé, épicé notes. Made with Vodka, Half-and-half, Limeade, Ice, Nutmeg. Instructions: Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Quick F**K,"Flat lay, vintage speakeasy style. High-quality photo of a Quick F**K, served in a cocktail glass, featuring Crémeux, sucré, sucré notes. Made with Kahlua, Midori melon liqueur, Baileys irish cream. Instructions: In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream. Garnished with a minimalist garnish, placed on a dark wooden bar counter, moody lighting --v 5"
Fruit Shake,"Flat lay, vintage speakeasy style. High-quality photo of a Fruit Shake, served in a cocktail glass, featuring Fruité, sucré notes. Made with Yoghurt, Banana, Orange juice, Fruit, Ice. Instructions: Blend til smooth.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
Melya,"Flat lay, vintage speakeasy style. High-quality photo of a Melya, served in a cocktail glass, featuring Fruité, sucré notes. Made with Espresso, Honey, Cocoa powder. Instructions: Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream.. Garnished with a fresh fruit slice, placed on a dark wooden bar counter, moody lighting --v 5"
